代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1563,巧新,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.2,0.0,0.0,504381108,0.0,0.0,0.0,0
1565,精華,113,Y1,不適用,113/01/01~113/12/31,董事會決議,9.5,0.0,0.0,478956902,0.0,0.0,0.0,0
1568,倉佑,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.2,0.0,0.0,123703871,0.0,0.0,0.0,0
1569,濱川,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1570,力肯,113,Y1,114/06/24,113/01/01~113/12/31,股東會確認,1.3,0.0,0.0,66951090,0.0,0.0,0.0,0
1580,新麥,113,Y1,不適用,113/01/01~113/12/31,董事會決議,9.0,0.0,0.0,452072178,0.0,0.0,0.0,0
1582,信錦,113,Y1,114/05/29,113/01/01~113/12/31,股東會確認,5.5,0.0,0.0,793477322,0.0,0.0,0.0,0
1583,程泰,113,Y1,不適用,113/01/01~113/12/31,董事會決議,3.0,0.0,0.0,331201116,0.0,0.0,0.0,0
1584,精剛,113,Y1,114/05/22,113/01/01~113/12/31,股東會確認,0.7,0.0,0.0,162729373,0.0,0.0,0.0,0
1586,和勤,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.3,0.0,0.0,30388640,0.0,0.0,0.0,0
1587,吉茂,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1587,吉茂,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.5,0.0,0.0,40027836,0.0,0.0,0.0,0
1589,永冠-KY,113,Y1,114/05/28,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1590,亞德客-KY,113,Y1,不適用,113/01/01~113/12/31,董事會決議,21.13956001,0.0,0.0,4227911960,0.0,0.0,0.0,0
1591,駿吉-KY,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1591,駿吉-KY,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1593,祺驊,113,Q1,不適用,113/01/01~113/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1593,祺驊,113,Q4,不適用,113/10/01~113/12/31,董事會決議,1.6,0.0,0.0,63655635,0.0,0.0,0.0,0
1593,祺驊,113,Q2,不適用,113/04/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1593,祺驊,113,Q3,不適用,113/07/01~113/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1595,川寶,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,27018618,0.0,0.0,0.0,0
1597,直得,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.7,0.0,0.0,61083263,0.0,0.0,0.0,0
1597,直得,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
