代號,名稱,年度,季別,營業活動之淨現金流入（流出）
8107,大億金茂,109,Q4,86471.00
8109,博大,109,Q2,182303.00
8109,博大,109,Q1,68674.00
8109,博大,109,Q3,300094.00
8109,博大,109,Q4,396958.00
8110,華東,109,Q4,1223341.00
8110,華東,109,Q3,1181972.00
8110,華東,109,Q1,-303065.00
8110,華東,109,Q2,651219.00
8111,立��,109,Q3,68475.00
8111,立��,109,Q2,11182.00
8111,立��,109,Q4,146738.00
8111,立��,109,Q1,20916.00
8112,至上,109,Q2,-2827368.00
8112,至上,109,Q3,-1947648.00
8112,至上,109,Q1,-3588874.00
8112,至上,109,Q4,-8053422.00
8114,振樺電,109,Q2,70144.00
8114,振樺電,109,Q1,178722.00
8114,振樺電,109,Q3,119752.00
8114,振樺電,109,Q4,499229.00
8121,越峰,109,Q1,20197.00
8121,越峰,109,Q3,152171.00
8121,越峰,109,Q4,213754.00
8121,越峰,109,Q2,65396.00
8131,福懋科,109,Q2,1548679.00
8131,福懋科,109,Q1,822135.00
8131,福懋科,109,Q3,2376703.00
8131,福懋科,109,Q4,3098204.00
8147,正淩,109,Q1,18486.00
8147,正淩,109,Q3,76721.00
8147,正淩,109,Q4,92053.00
8147,正淩,109,Q2,44063.00
8150,南茂,109,Q4,5940236.00
8150,南茂,109,Q2,2777700.00
8150,南茂,109,Q1,732307.00
8150,南茂,109,Q3,4052331.00
8155,博智,109,Q4,687895.00
8155,博智,109,Q1,129279.00
8155,博智,109,Q3,494967.00
8155,博智,109,Q2,312818.00
8163,達方,109,Q2,117126.00
8163,達方,109,Q4,1100043.00
8163,達方,109,Q3,796436.00
8163,達方,109,Q1,415946.00
8171,天宇,109,Q2,-47327.00
8171,天宇,109,Q3,-57372.00
8171,天宇,109,Q4,-117285.00
8171,天宇,109,Q1,-55724.00
8176,智捷,109,Q2,28108.00
8176,智捷,109,Q3,39476.00
8176,智捷,109,Q1,8743.00
8176,智捷,109,Q4,10756.00
8182,加高,109,Q1,88122.00
8182,加高,109,Q2,179222.00
