出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","2022","聚亨","604056.00","-385203.00","-218047.00","75017.00","75823.00","1114549.00","1190372.00"
"114/10/29","111","3","2023","燁輝","1266195.00","-1548498.00","1970558.00","-79502.00","1608753.00","7209529.00","8818282.00"
"114/10/29","111","3","2024","志聯","-299899.00","-39967.00","306875.00","993.00","-31998.00","127876.00","95878.00"
"114/10/29","111","3","2025","千興","355099.00","141468.00","-799123.00","2113.00","-300443.00","373575.00","73132.00"
"114/10/29","111","3","2027","大成鋼","3078495.00","-3692539.00","2730437.00","530330.00","2646723.00","9331655.00","11978378.00"
"114/10/29","111","3","2028","威致","-117900.00","-141824.00","124511.00","--","-135213.00","212643.00","77430.00"
"114/10/29","111","3","2029","盛餘","558447.00","-715381.00","-852782.00","-12217.00","-1021933.00","3849891.00","2827958.00"
"114/10/29","111","3","2030","彰源","2423625.00","-192595.00","-2118308.00","-27473.00","85249.00","1516988.00","1602237.00"
"114/10/29","111","3","2031","新光鋼","1074677.00","-220840.00","-415934.00","5325.00","443228.00","964372.00","1407600.00"
"114/10/29","111","3","2032","新鋼","268583.00","107956.00","-258006.00","--","118533.00","122484.00","241017.00"
"114/10/29","111","3","2033","佳大","-52301.00","-13289.00","96209.00","584.00","31203.00","57646.00","88849.00"
"114/10/29","111","3","2034","允強","701723.00","-1155799.00","23437.00","-74686.00","-505325.00","1396077.00","890752.00"
"114/10/29","111","3","2038","海光","-415899.00","-331818.00","753511.00","--","5794.00","446128.00","451922.00"
"114/10/29","111","3","2049","上銀","4608201.00","-1830062.00","-759648.00","78130.00","2096621.00","5433053.00","7529674.00"
"114/10/29","111","3","2059","川湖","2275039.00","-155660.00","-788040.00","1161392.00","2492731.00","7926374.00","10419105.00"
"114/10/29","111","3","2062","橋椿","1604135.00","464494.00","-1972520.00","96922.00","193031.00","541871.00","734902.00"
