公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8476 - 台境*,109/06/09,108年 年度,0.0,                  0,0.0
8476 - 台境*,109/06/09,108年 年度,0.0,                  0,0.0
8476 - 台境*,109/06/09,108年 年度,0.0,                  0,0.0
8477 - 創業家,109/06/22,108年 年度,1.37000000,"         34,196,726",0.0
8477 - 創業家,109/06/22,108年 年度,1.37000000,"         34,196,726",0.0
8477 - 創業家,109/06/22,108年 年度,1.37000000,"         34,196,726",0.0
8477 - 創業家,109/06/22,108年 年度,1.37000000,"         34,196,726",0.0
8478 - 東哥遊艇,109/06/22,108年 年度,0.50000000,"         45,446,638",0.0
8478 - 東哥遊艇,109/06/22,108年 年度,0.50000000,"         45,446,638",0.0
8478 - 東哥遊艇,109/06/22,108年 年度,0.50000000,"         45,446,638",0.0
8478 - 東哥遊艇,109/06/22,108年 年度,0.50000000,"         45,446,638",0.0
8481 - 政伸,不適用,108年 年度,2.65000000,"        199,805,598",0.0
8481 - 政伸,不適用,108年 年度,2.65000000,"        199,805,598",0.0
8481 - 政伸,不適用,108年 年度,2.65000000,"        199,805,598",0.0
8481 - 政伸,不適用,108年 年度,2.65000000,"        199,805,598",0.0
8482 - 商億-KY,109/05/27,108年 年度,6.00000000,"        648,672,000",0.0
